ARREST_PRECINCT,new_arrest_date,count
67,2010 08,530
32,2010 04,614
122,2009 10,354
45,2009 08,282
20,2009 03,266
9,2009 03,410
7,2009 01,350
101,2009 01,281
122,2008 09,340
26,2008 09,311
73,2008 07,861
67,2007 12,400
113,2007 12,556
48,2007 08,635
103,2007 03,611
72,2007 02,411
47,2006 10,468
79,2017 02,333
114,2014 02,506
105,2019 07,245
30,2020 02,134
110,2018 08,314
26,2018 02,185
32,2013 09,402
70,2013 04,442
50,2009 11,213
111,2008 06,180
68,2007 11,183
71,2017 01,397
68,2021 08,113
78,2006 01,161
45,2017 02,181
60,2014 04,354
123,2018 03,105
45,2018 06,165
48,2020 11,187
14,2020 06,222
52,2019 06,381
40,2019 10,595
75,2020 05,317
77,2020 01,243
79,2006 05,599
24,2018 10,130
45,2018 08,225
50,2006 06,128
17,2017 11,172
17,2016 12,100
26,2015 12,147
46,2015 11,420
62,2014 12,202
71,2014 07,486
47,2013 09,437
90,2013 08,469
72,2013 06,285
122,2013 03,304
66,2011 09,148
102,2011 08,326
108,2011 02,271
50,2010 04,211
69,2010 02,238
42,2009 11,589
108,2009 02,231
103,2008 04,620
5,2008 04,481
112,2008 02,182
40,2007 10,1000
113,2007 09,661
46,2007 05,1215
122,2007 06,310
43,2007 04,1059
1,2007 02,331
90,2006 10,321
104,2006 09,353
26,2016 05,190
103,2016 05,579
114,2010 04,519
107,2008 01,271
47,2007 11,547
13,2019 06,234
7,2020 01,134
9,2021 09,149
67,2018 07,417
63,2018 06,165
90,2017 11,214
94,2017 05,161
88,2015 10,215
102,2014 11,291
68,2012 11,144
18,2012 01,440
19,2010 10,260
81,2009 10,498
88,2021 03,87
6,2011 01,328
101,2007 06,267
112,2016 02,182
20,2016 02,140
94,2006 12,103
45,2020 10,124
75,2020 09,364
77,2020 07,135
103,2020 05,317
49,2019 04,268
120,2019 11,231
115,2019 08,380
72,2021 07,187
5,2021 06,182
84,2021 07,145
40,2018 10,523
26,2018 07,142
46,2018 02,485
52,2006 02,606
83,2018 04,248
41,2017 11,408
32,2017 04,352
34,2016 11,322
24,2016 07,211
1,2016 07,267
107,2016 02,226
13,2015 11,492
115,2015 04,517
103,2015 03,787
71,2015 03,377
73,2014 01,874
34,2013 12,394
24,2013 12,216
48,2013 07,628
60,2013 03,391
84,2012 10,327
75,2012 09,1283
67,2012 09,604
112,2012 07,188
122,2012 07,319
41,2012 05,585
28,2012 05,439
115,2012 04,596
103,2012 03,811
112,2011 07,194
25,2011 04,873
79,2011 03,682
110,2009 12,449
1,2010 05,480
88,2010 02,162
107,2010 01,317
5,2009 08,440
25,2009 07,697
106,2009 06,307
10,2009 05,304
47,2009 01,771
68,2008 10,231
70,2008 08,567
112,2008 03,223
9,2007 05,428
120,2006 12,536
105,2021 01,208
76,2017 11,196
84,2014 01,346
115,2007 02,608
44,2006 12,819
17,2020 02,89
94,2018 04,116
20,2015 05,153
76,2014 06,136
20,2009 02,201
107,2020 11,101
13,2020 08,135
17,2015 03,157
22,2009 06,62
68,2008 03,162
122,2019 09,141
107,2018 11,193
76,2020 06,44
102,2019 02,163
72,2019 02,251
44,2019 04,543
67,2019 10,282
23,2019 09,198
52,2020 03,327
103,2020 02,286
108,2020 02,106
101,2020 02,166
104,2020 01,203
71,2021 11,139
100,2021 03,70
90,2021 04,120
13,2018 08,278
40,2018 02,639
9,2018 01,238
24,2018 01,194
101,2006 07,274
71,2006 07,382
94,2006 05,121
60,2006 01,411
77,2017 12,329
67,2017 11,432
75,2017 09,565
48,2017 07,402
110,2017 07,268
24,2017 03,234
115,2016 05,453
81,2016 01,395
105,2015 02,346
90,2014 05,400
25,2014 01,948
67,2013 06,532
30,2013 07,390
76,2013 06,139
69,2012 10,217
123,2012 06,89
25,2012 05,822
67,2012 03,733
6,2011 07,423
83,2010 12,457
113,2010 12,443
122,2010 10,353
48,2010 10,613
105,2010 10,380
94,2008 05,110
25,2007 11,655
107,2007 07,258
113,2007 06,459
77,2007 03,548
25,2007 01,837
121,2021 01,218
105,2017 09,315
115,2017 08,379
69,2016 06,226
103,2015 01,637
113,2010 07,643
102,2009 01,319
49,2020 10,169
111,2006 05,169
26,2016 12,149
18,2016 08,398
42,2015 07,442
107,2011 08,216
6,2010 11,359
104,2007 11,329
113,2007 04,496
111,2006 11,192
94,2018 11,110
78,2009 05,175
22,2012 01,47
26,2015 03,183
28,2019 01,176
69,2021 08,101
101,2019 01,197
73,2019 01,462
44,2020 02,430
47,2021 11,314
115,2021 04,196
112,2018 06,112
112,2018 12,165
6,2006 06,303
48,2006 06,392
62,2006 06,198
102,2006 04,314
67,2016 10,535
68,2016 10,259
113,2016 07,568
17,2015 01,95
