ARREST_PRECINCT,new_arrest_date,count
32,2009/11,596
84,2018/12,249
103,2018/12,296
105,2017/07,297
113,2016/12,466
43,2016/10,507
105,2016/09,286
40,2015/07,990
120,2015/06,372
108,2014/07,260
63,2013/12,174
62,2013/11,221
5,2013/08,548
10,2013/05,296
25,2013/01,899
103,2012/12,662
18,2012/12,434
9,2012/10,408
24,2012/04,277
72,2011/10,311
71,2011/09,400
17,2011/06,186
71,2011/04,537
90,2010/10,348
71,2010/07,561
34,2010/05,556
81,2010/03,547
112,2009/11,237
69,2009/06,264
105,2009/05,443
7,2009/05,285
9,2009/04,376
7,2009/01,350
83,2009/01,551
7,2008/11,279
50,2007/11,208
32,2007/03,571
112,2007/03,224
45,2021/05,97
23,2015/12,366
23,2015/03,389
46,2013/07,689
67,2013/01,601
71,2009/09,490
108,2008/01,339
20,2020/11,55
77,2019/01,283
20,2021/04,75
26,2018/07,142
94,2018/02,99
42,2017/05,419
71,2016/08,323
20,2016/07,125
6,2016/05,263
105,2015/11,300
9,2013/06,341
62,2013/01,200
17,2007/11,138
106,2021/02,120
104,2019/12,165
20,2008/12,141
94,2019/02,82
123,2006/08,109
90,2020/03,116
121,2020/11,174
72,2020/10,192
40,2020/07,198
83,2019/02,261
9,2020/03,118
20,2020/02,66
68,2021/10,115
7,2013/06,334
7,2006/09,266
6,2006/04,340
101,2017/09,213
110,2017/08,345
20,2017/01,130
115,2017/01,420
33,2016/04,299
42,2016/03,537
114,2015/10,479
49,2015/03,299
52,2015/03,698
79,2015/02,443
44,2014/11,768
43,2014/10,712
113,2013/08,676
22,2013/09,53
9,2013/05,334
34,2011/09,481
68,2011/05,218
61,2010/10,272
104,2010/09,408
122,2010/03,354
47,2009/10,725
52,2009/03,975
111,2009/02,158
14,2008/07,1129
72,2008/02,344
73,2007/08,1050
1,2007/02,331
72,2007/01,446
1,2006/05,332
45,2016/04,210
47,2013/01,605
18,2008/10,419
103,2008/06,570
19,2006/09,322
23,2020/10,134
28,2020/07,53
107,2019/07,190
63,2021/07,143
52,2021/04,212
50,2021/05,103
60,2021/01,159
42,2021/01,280
88,2018/07,98
62,2006/02,234
76,2018/04,173
10,2017/06,221
67,2011/06,550
94,2010/06,150
66,2008/03,182
88,2007/01,306
7,2021/06,141
71,2020/12,145
33,2017/12,267
71,2014/12,230
100,2012/03,203
123,2021/10,51
94,2019/11,63
19,2020/12,110
121,2019/01,234
101,2019/07,230
102,2019/09,231
115,2019/12,268
19,2020/05,127
69,2020/01,131
44,2021/04,231
70,2021/05,150
42,2021/03,320
13,2021/01,146
47,2018/06,428
47,2018/12,334
110,2018/05,380
114,2006/05,642
69,2006/04,245
7,2006/02,256
19,2018/01,235
18,2018/04,334
47,2016/12,439
14,2016/11,752
46,2016/08,500
17,2016/06,131
14,2016/04,954
44,2016/02,742
46,2015/07,566
9,2015/05,313
108,2015/02,171
66,2014/06,192
75,2013/06,1191
60,2013/06,468
1,2012/11,207
61,2012/10,258
76,2012/05,243
41,2011/08,598
101,2011/01,269
100,2010/03,229
71,2010/02,368
9,2009/09,379
73,2009/07,999
104,2008/12,259
79,2008/09,631
75,2008/07,1141
77,2008/07,461
24,2008/03,340
30,2007/10,462
23,2007/06,472
90,2007/04,331
52,2006/10,712
103,2017/01,461
84,2016/05,396
19,2012/04,245
41,2011/11,649
111,2010/02,150
43,2007/11,932
26,2007/06,243
72,2015/11,251
106,2015/09,265
62,2013/12,203
102,2012/09,305
66,2011/08,124
105,2006/04,504
78,2015/01,166
69,2021/04,92
112,2018/07,105
108,2018/03,214
24,2011/09,219
78,2008/06,135
66,2012/02,116
115,2020/08,164
24,2008/06,287
111,2017/12,108
22,2016/04,16
22,2020/02,2
77,2020/07,135
77,2019/03,267
40,2019/06,539
88,2019/08,125
115,2020/05,288
9,2020/02,146
30,2021/12,123
105,2021/05,191
40,2021/02,327
107,2018/11,193
84,2018/07,266
60,2018/02,292
52,2006/03,665
115,2006/03,647
84,2006/02,327
24,2018/03,197
43,2017/10,514
6,2017/03,243
123,2016/11,139
61,2016/07,189
60,2016/03,415
60,2016/02,406
105,2015/10,323
111,2015/10,146
84,2015/07,360
104,2015/06,331
42,2015/06,469
18,2015/01,381
5,2014/10,527
41,2014/10,618
77,2014/09,447
102,2014/08,288
